"var1","var2","var3","var4","var5", "var6"
"56","y",-2.63901013462924,2.03272390912753,48,"Oklahoma"
"57","q",1.65832295919953,3.84046234190464,20,"Maryland"
"58","b",0.477814354711873,8.90821246581618,30,"Oregon"
"59","c",1.0334658772812,5.01764845883008,48,"Georgia"
"60","q",0.175723935126114,9.35088397213258,15,"Kansas"
"61","f",0.0861832164806697,1.26923961541615,33,"Louisiana"
"62","c",1.40277608078212,6.7148059734609,31,"North Carolina"
"63","d",0.978442396196127,6.44023808208294,11,"North Dakota"
"64","i",-0.962775892050598,7.29586968151852,47,"Wisconsin"
"65","u",-0.687670002840703,1.54470370255876,15,"Virginia"
"66","v",-0.68687850109478,9.47675293649081,34,"Rhode Island"
"67","j",-0.281331497064756,8.6165724467719,10,"Massachusetts"
"68","p",-0.248422073920728,6.10611410229467,19,"Pennsylvania"
"69","y",1.01878029185024,9.2285840929253,40,"Michigan"
"70","r",-1.2679227461574,5.4826073248405,41,"Wisconsin"
"71","v",-1.09952460638073,4.48080823640339,13,"Pennsylvania"
"72","s",0.853615757829833,6.56246831617318,14,"Arizona"
"73","g",-0.0585192414870653,5.22273085429333,47,"Hawaii"
"74","t",-2.09351188298087,6.01869875192642,23,"Kentucky"
"75","u",2.41034886045252,3.08028205006849,11,"Arkansas"
"76","w",0.200221505583028,4.03681185794994,12,"Nevada"
"77","y",-1.53977740194592,9.48617480997927,31,"Montana"
"78","k",0.405604394173093,1.47231342282612,29,"Idaho"
"79","p",2.73486464933574,5.87878919066861,46,"Hawaii"
"80","t",-0.301081345121566,3.02993925800547,29,"Kansas"
"81","x",-0.443170048786163,1.28367459157016,44,"Rhode Island"
"82","y",-0.710308737121237,2.05021416477393,27,"New Hampshire"
"83","c",-0.345567295355809,2.18622398737352,14,"Tennessee"
"84","l",1.11645557728015,3.87703440967016,30,"Mississippi"
"85","v",0.816036605124847,1.13148768723477,32,"New York"
"86","u",-0.404694928098613,1.42718808725476,14,"North Dakota"
"87","t",0.824553675724722,7.3817948428914,19,"North Carolina"
"88","d",-0.801210029341925,1.00854266993701,11,"Maryland"
"89","w",-0.914636452739716,5.09650301304646,43,"South Carolina"
"90","q",1.90283611784437,5.75950987031683,28,"Hawaii"
"91","m",0.388987313589109,7.11766147066373,28,"West Virginia"
"92","u",0.832507409018545,7.62793191568926,30,"Wisconsin"
"93","a",-1.68168496282833,8.04779551003594,44,"New Hampshire"
"94","a",-1.27826377106731,4.75409503048286,31,"Texas"
"95","d",-1.10146626375974,3.98349890182726,48,"Virginia"
"96","b",0.974655340480915,7.51661806635093,24,"Vermont"
"97","e",-0.714873731029537,3.43372956442181,36,"Washington"
"98","b",-0.273143868485475,9.32898665161338,28,"Tennessee"
"99","l",-0.663653076599466,7.35864074178971,11,"Minnesota"
"100","t",-1.97248314578409,2.03496443713084,25,"Arizona"
