"var1"	"var2"	"var3"	"var4"	"var5"	"var6"
"54"	"x"	-0.650775304983752	6.88280789833516	45	"Connecticut"
"55"	"k"	-0.399073059819797	1.785634807311	29	"Colorado"
"56"	"v"	-0.528159812057345	4.96196073305327	27	"Louisiana"
"57"	"g"	0.264486915263348	2.15973144082818	39	"California"
"58"	"w"	-1.76462622565763	7.43584654864389	16	"Utah"
"59"	"g"	-0.635591611184539	5.82138567289803	30	"West Virginia"
"60"	"p"	-0.537660856989048	5.9434688014444	32	"Delaware"
"61"	"f"	1.2013510952307	3.04698497313075	48	"Nebraska"
"62"	"y"	-0.227227809909939	6.12067836651113	19	"Missouri"
"63"	"l"	0.0346040785968589	8.43342219933402	17	"Kansas"
"64"	"a"	0.598656981604422	1.31583016226068	47	"West Virginia"
"65"	"r"	-1.57518290595659	4.20324633922428	18	"Florida"
"66"	"f"	-0.882958173226545	1.14497223938815	33	"Illinois"
"67"	"a"	-1.34714231496251	4.22477356554009	34	"Maryland"
"68"	"j"	1.23217116620854	7.21055937069468	49	"Missouri"
"69"	"n"	-0.223119361636411	4.29039308161009	45	"Arkansas"
"70"	"l"	0.00990898291078841	7.29350942629389	33	"Mississippi"
"71"	"p"	-1.64704109267439	9.1674189491896	31	"Utah"
"72"	"p"	1.59589588113457	1.229360783007	45	"South Carolina"
"73"	"u"	-1.78739104375905	5.11330377985723	15	"Kentucky"
"74"	"c"	-1.10997315089264	4.88915995066054	33	"Idaho"
"75"	"d"	-0.257094531297498	3.31697792781051	40	"West Virginia"
"76"	"g"	0.587452152419053	5.90132818196435	14	"Kansas"
"77"	"t"	0.62906961890987	6.20705715229269	24	"Arkansas"
"78"	"v"	0.26414869612621	4.64898321626242	10	"Connecticut"
"79"	"t"	0.319476476450306	6.67924545693677	21	"Virginia"
"80"	"i"	0.0273606171673285	5.86429580650292	23	"South Dakota"
"81"	"i"	1.63041098007492	4.21002224052791	19	"Nebraska"
"82"	"m"	-0.328622363793713	2.37565711059142	44	"Nebraska"
"83"	"u"	1.40437336422214	1.8139553249348	18	"Ohio"
"84"	"x"	-0.0839910442869931	1.71891058760229	39	"Alabama"
"85"	"d"	-1.87550097372973	2.09882078645751	34	"South Carolina"
"86"	"r"	-0.423203611632292	9.2849650697317	28	"New Jersey"
"87"	"t"	-0.664510435938509	4.20152527303435	41	"Kansas"
"88"	"p"	-0.399377006743598	9.45054544194136	18	"New Hampshire"
"89"	"r"	-1.14070109791483	7.62636995012872	30	"Missouri"
"90"	"f"	0.820022644211377	2.28138671233319	35	"Vermont"
"91"	"o"	-0.226985206000334	6.17358768335544	17	"Ohio"
"92"	"w"	1.48014573828311	7.13501598057337	23	"Minnesota"
"93"	"s"	-0.457499968089289	8.3491311580874	22	"Utah"
"94"	"o"	0.421249656599984	2.3675137279788	31	"Texas"
"95"	"i"	0.2643281179714	6.32077420246787	34	"Maryland"
"96"	"j"	0.848117880528547	1.984413701226	41	"Indiana"
"97"	"j"	-0.480181764811091	6.36243578244466	46	"Illinois"
"98"	"r"	0.444958625278696	6.06667262839619	15	"Illinois"
"99"	"f"	0.490250229035729	5.54821999929845	45	"Alabama"
"100"	"i"	0.300355467743019	6.20274111628532	36	"Iowa"
